date,title,amount
2025-12-23,F A dos Santos Minimer,19.67
2025-12-21,Ifood Club,5.95
2025-12-20,Unicef*Unicef Brasil,40.00
2025-12-20,Apple.Com/Bill,109.90
2025-12-19,F A dos Santos Minimer,7.79
2025-12-18,Subway Ourinhos,39.80
2025-12-18,F A dos Santos Minimer,14.64
2025-12-17,VALLESE COLONNELLA CLINICA MEDICA LTDA,127.17
2025-12-17,DIRETORIA GERAL DE FINANCAS - DGFIN,138.62
2025-12-17,Flipper Delivery,36.50
2025-12-17,Encantosdocafe,174.00
2025-12-17,Miranda Panificadora e,30.29
2025-12-17,Posto Bauru,269.55
2025-12-16,F A dos Santos Minimer,6.37
2025-12-16,Santo Sete - Parcela 1/5,30.00
2025-12-14,F A dos Santos Minimer,7.19
2025-12-14,Mercado Ville de Franc,17.19
2025-12-14,Supmercado A Baiuca do,25.44
2025-12-14,Mercado Ville de Franc,50.28
2025-12-13,Apple.Com/Bill,5.90
2025-12-13,D. T. Vicentin & Cia L,9.98
2025-12-12,Jim.Com* 61257324 Lia,68.40
2025-12-11,Airbnb * Hmpj5sba9p - Parcela 1/6,386.90
2025-12-11,Burger King App,54.89
2025-12-11,Drogasil,181.79
2025-12-11,Supermercados Avenida,24.08
2025-12-11,F A dos Santos Minimer,7.93
2025-12-10,F A dos Santos Minimer,5.75
2025-12-10,Jim.Com* 61257324 Lia,61.00
2025-12-09,F A dos Santos Minimer,14.99
2025-12-08,Auto Posto Santa Catar,313.06
2025-12-08,Mercadolivre*Mercadol,70.22
2025-12-08,Limite convertido em saldo na sua conta do Nubank,277.01
2025-12-08,Santa Catarina Comerci,6.50
2025-12-07,F A dos Santos Minimer,5.60
2025-12-07,Lfg-Comercio de Alime,45.00
2025-12-07,Magalu *Magalu,95.99
2025-12-07,Mercadolivre*Mercadol,52.66
2025-12-07,Supermercados Avenida,348.91
2025-12-07,Tebettemodas,71.00
2025-12-07,Casas Pernambucanas,29.99
2025-12-07,Zp*Cris Park Ourinhos,31.50
2025-12-07,Burger King,13.80
2025-12-06,Subway Ourinhos,50.00
2025-12-06,Ifd*Kamaguije Cafeteri,0.99
2025-12-05,F A dos Santos Minimer,12.05
2025-12-04,Pagamento recebido,-7691.23
2025-12-04,Apple.Com/Bill,18.00
2025-12-04,Mercadolivre*Mercadol,98.26
2025-12-03,F A dos Santos Minimer,13.92
2025-12-03,Mercado Ville de Franc,45.10
2025-12-02,Bon Vivant Lanchonete,28.00
2025-12-02,F A dos Santos Minimer,7.33
2025-12-02,F A dos Santos Minimer,10.84
2025-12-02,Metlife Vida*Metlife,311.12
2025-12-02,Subway Ourinhos,85.40
2025-12-02,F A dos Santos Minimer,5.59
2025-12-01,Mercadolivre*Mercadol - Parcela 5/5,11.63
2025-12-01,Hering Ourinhos - Parcela 2/5,143.18
2025-12-01,Amazonmktplc*Alvesbaby - Parcela 6/10,99.99
2025-12-01,Paulo G R A,58.00
2025-12-01,Sport Tennis - Parcela 6/6,64.97
2025-12-01,Pg *Li Waterpik - Parcela 8/8,66.24
2025-12-01,Santo Sete - Parcela 2/5,96.00
2025-12-01,Saboaria P.P*Peter Pai - Parcela 2/3,52.72
2025-12-01,Sm Sao Judas Tadeu,13.48
2025-12-01,Portugues Vidros - Parcela 2/3,133.33
2025-12-01,Hering Ourinhos - Parcela 2/5,199.98
2025-12-01,Ec *Melimais,8.90
