date,title,amount
2025-12-29,SUPERMERCADOS AVENIDA,168.23
2025-12-29,PDV*ADOREI SORVETES,42.50
2025-12-29,PANIFICADORA E CONFEIT,7.81
2025-12-29,SUBWAY OURINHOS,39.80
2025-12-29,BarbeariaDomRafa,110.00
2025-12-29,MERCADO VILLE DE FRANC,26.35
2025-12-29,BertoliniCiaLtda,139.81
2025-12-28,MERCADO VILLE DE FRANC,62.72
2025-12-28,F A DOS SANTOS MINIMER,2.12
2025-12-27,TIAGO DA SILVA MARCOLI,197.23
2025-12-27,FAZENDA SAO JOAO,30.00
2025-12-27,SUPERMERCADOS AVENIDA,66.40
2025-12-27,F A DOS SANTOS MINIMER,9.98
2025-12-27,FAZENDA SAO JOAO,20.00
2025-12-26,AUTO POSTO SANTA CATAR,265.51
2025-12-24,F A DOS SANTOS MINIMER,5.79
2025-12-24,F A DOS SANTOS MINIMER,6.99
2025-12-23,ESPETINHO OURO VERDE,37.00
2025-12-23,SM SAO JUDAS TADEU,262.36
2025-12-23,MERCADO VILLE DE FRANC,55.12
2025-12-23,Eletroservice,45.62
2025-12-23,F A DOS SANTOS MINIMER,9.99
2025-12-23,F A DOS SANTOS MINIMER,40.27
2025-12-22,61153165Haroldo,7.99
2025-12-22,FRANCINE SORVETERIA,28.00
2025-12-22,MP FELIPEPIPOQUE,7.00
2025-12-21,MERCADOLIVRE 7PRODUTO,25.34
2025-12-21,DROGASIL 2469,58.53
2025-12-21,F A DOS SANTOS MINIMER,7.99
2025-12-21,MERCADO VILLE DE FRANC,23.78
2025-12-21,MERCADOLIVRE 7PRODUTOS,112.26
2025-12-20,Drogaria SP drogariasp,83.55
2025-12-20,MERCADO VILLE DE FRANC,27.12
2025-12-20,VERACE PIZZA,173.90
2025-12-20,F A DOS SANTOS MINIMER,7.42
2025-12-19,DROGASIL 2469,85.81
2025-12-19,BON VIVANT LANCHONETE,34.00
2025-12-19,F A DOS SANTOS MINIMER,15.57
2025-12-19,JO,89.99
2025-12-19,ASSOCIACAO MIRIM OURI,1.50
2025-12-19,F A DOS SANTOS MINIMER,4.16
